categorie;structure;etablissement;handicaps;handicap_mental;handicap_auditif;handicap_visuel;handicap_moteur;siteweb;telephone;fax;label;departement;ville;code_postal;adresse;adresseadmin;emailcontact;lat;lng;wgs84
Lieu de visite;Patrimoine;Musée de la Moisson;"moteur ; mental";Oui;Non;Non;Oui;http://www.museemoisson.free.fr;01 34 66 39 52;01 34 66 39 52;;Val-d'Oise;SAGY;95450;Mairie de Sagy;;musee.moisson@caramail.com;49.0505386;1.9502482;49.0505386, 1.9502482
Lieu de visite;Patrimoine;Musée de l'Education;"auditif ; mental";Oui;Oui;Non;Non;http://www.ac-versailles.fr;01 34 64 08 74;01 34 64 52 08;;Val-d'Oise;SAINT OUEN L'AUMÔNE;95130;2 place des Ecoles;;musee.education@valdoise.fr;49.0451784;2.1091427;49.0451784, 2.1091427
Lieu de visite;Patrimoine;Musée de la Boxe;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.ville-sannois.fr;01 30 25 92 16;;;Val-d'Oise;SANNOIS;95110;Palais des Sports Jean-Claude Boutier 88 rue du Poirier Baron;;musee.boxe.sannois@wanadoo.fr;48.9787515;2.2420762;48.9787515, 2.2420762
Hôtel;Hôtel;Hôtel Louvre Saint Anne;mental;Oui;Non;Non;Non;http://www.louvre-ste-anne.fr;01 40 20 02 35;01 40 15 91 13;;Paris;PARIS;75001;32 rue Sainte Anne;;contact@louvre-ste-anne.fr;48.8666471;2.3358044;48.8666471, 2.3358044
Lieu de visite;Patrimoine;Musée en Herbe;mental;Oui;Non;Non;Non;http://www.musee-en-herbe.com;01 40 67 97 66;01 40 67 92 13;;Paris;PARIS;75001;21 rue Hérold;;musee-en-herbe@wanadoo.fr;48.8651323;2.3418321;48.8651323, 2.3418321
Lieu de visite;Patrimoine;Museum National d'Histoire Naturelle La Ménagerie;"auditif ; mental";Oui;Oui;Non;Non;http://www.mnhn.fr;01 40 79 30 00;;;Paris;PARIS;75005;57 rue Cuvier;;;48.8441224;2.3556151;48.8441224, 2.3556151
Lieu de visite;Patrimoine;Muséum National d'Histoire Naturelle Les Galeries de Paéontologies et d'Anatomie Comparée;"auditif ; mental";Oui;Oui;Non;Non;http://www.mnhn.fr;01 40 79 30 00;;;Paris;PARIS;75005;57 rue Cuvier;;;48.8441224;2.3556151;48.8441224, 2.3556151
Lieu de visite;Patrimoine;Arc de Triomphe;auditif;Non;Oui;Non;Non;http://www.monuments-nationaux.fr;01 44 95 02 10;01 44 07 32 23;;Paris;PARIS;75008;Place Charles de Gaulle;;josephine.marino@monuments-nationaux.fr;48.8737573;2.2959091;48.8737573, 2.2959091
Lieu de visite;Patrimoine;Musée Grévin;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.grevin.com;01 47 70 88 08;01 47 70 84 00;;Paris;PARIS;75009;10 bd Montmartre;;veronique.berecz@grevin.com;48.8718295;2.3421555;48.8718295, 2.3421555
Hébergement collectif;Auberge de jeunesse;FIAP Jean Monnet;"moteur ; mental";Oui;Non;Non;Oui;http://www.fiap.asso.fr;01 43 13 17 00;01 45 81 63 91;Ethic Etapes;Paris;PARIS;75014;30 rue Cabanis;;fiap@fiap-paris.org;48.8303598;2.3380334;48.8303598, 2.3380334
Lieu de visite;Patrimoine;Château de Blandy Les Tours;"moteur ; mental";Oui;Non;Non;Oui;;01 60 59 17 80;;;Seine-et-Marne;BLANDY LES TOURS;77115;Place des Tours;;chateaudeblandy@cg77.fr, jean-marc.bernard@cg77.fr;48.5672935;2.7825365;48.5672935, 2.7825365
Camping;Camping;Roulotte de la Base de Loisirs de Bois le Roi;"auditif ; moteur";Non;Oui;Non;Oui;http://www.ucpa-boisleroi.com;01 64 81 33 00;;;Seine-et-Marne;BOIS LE ROI;77590;Rue de Tournezy;;boisleroi-base@ucpa.asso.fr;48.481442;2.712659;48.481442, 2.712659
Hôtel;Hôtel;Herbergement et restauration Collective de la base de Loisirs;mental;Oui;Non;Non;Non;http://www.base-buthiers.fr;01 64 24 12 87;01 64 24 15 79;;Seine-et-Marne;BUTHIERS;77760;Rue de Roches;;bpa-buthiers@wanadoo.fr;48.2944846;2.4286769;48.2944846, 2.4286769
Meublé de tourisme;Meublé de tourisme;Gîte rural de Chartronges;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.domainelespeupliers.com;01 64 65 41 02;;Gîtes de France;Seine-et-Marne;CHARTRONGES;77320;18-20 rue de la Croix Féraubry;;frederique.mignon@akeonet.com;48.7618703;3.2671624;48.7618703, 3.2671624
Hôtel;Hôtel;Hôtel Le Grand Terre;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.le-grand-terre.fr;01 64 65 97 14;;;Seine-et-Marne;CHARTRONGES;77230;Aérodrome de la Ferté Gaucher;;info@le-grand-terre.fr;48.762201;3.2780648;48.762201, 3.2780648
Restaurant;Restauration;Auberge de la Croix d'Augas;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.lesaubergesdelaforet.com;01 64 23 49 25;;;Seine-et-Marne;FONTAINEBLEAU;77300;RD 116;;franckbp@aol.com;48.404676;2.70162;48.404676, 2.70162
Lieu de visite;Patrimoine;Le Château de Fontainebleau Musée national;"auditif ; mental";Oui;Oui;Non;Non;;01 60 71 57 94;;;Seine-et-Marne;FONTAINEBLEAU;77300;;;resa.chateau-de-fontainebleau@culture.gouv.fr.;48.4020783;2.6993875;48.4020783, 2.6993875
Meublé de tourisme;Meublé de tourisme;Gîte d'Etape Ferme de la Croix;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;;06 14 30 67 54;01 60 01 73 76;Gîtes de France;Seine-et-Marne;MAY EN MULTIEN;77145;37 rue de Soisson;;jp_garnier@hotmail.com;49.0742591;3.024085;49.0742591, 3.024085
Hôtel;Hôtel;Hostellerie Le Châtel;"auditif ; moteur";Non;Oui;Non;Oui;http://www.lesbillettes.com;01 64 08 22 50;01 64 60 97 56;LOGIS DE France;Seine-et-Marne;NANGIS;77370;RN 19;;info@lesbillettes.com;48.554611;3.013535;48.554611, 3.013535
Meublé de tourisme;Meublé de tourisme;Gite rural n°254;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;;01 64 28 13 04;;Gîtes de France;Seine-et-Marne;SOUPPES-SUR-LOING;77460;Ferme de Beaumoulin La Madeleine sur Loing;;duflocqs@yahoo.fr;48.183625;2.733178;48.183625, 2.733178
Chambre d'hôtes;Chambre d'hôtes;Chambres d'hôtes La Ferme de la Vallée aux Pages;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.vallee-aux-pages.com;"0130590196 ; 0619854370";;Gîtes de France;Yvelines;PARAY DOUAVILLE;78660;1 rue de la Plaine Lenainville;;icout@wanadoo.fr;48.4489713;1.8480386;48.4489713, 1.8480386
Lieu de visite;Patrimoine;Le Panthéon;auditif;Non;Oui;Non;Non;http://www.monuments-nationaux.fr;01 44 32 18 00;01 44 07 32 23;;Paris;PARIS;75005;Place du Panthéon;;josephine.marino@monuments-nationaux.fr;48.8456853;2.3459011;48.8456853, 2.3459011
Restaurant;Restauration;Restaurant Au Petit Riche;"auditif ; mental";Oui;Oui;Non;Non;http://www.aupetitriche.com;01 47 70 68 68;01 48 24 10 79;;Paris;PARIS;75009;25 rue Peletier;;aupetitriche@wanadoo.fr;48.873145;2.3386744;48.873145, 2.3386744
Lieu de visite;Patrimoine;Paroisse Saint Joseph Artisan;"auditif ; mental";Oui;Oui;Non;Non;http://www.pagesperso-orange.fr/sjoart;01 46 07 92 87;01 46 07 61 62;;Paris;PARIS;75010;214 rue La Fayette;;sjoart@wanadoo.fr;48.8818236;2.3671262;48.8818236, 2.3671262
Lieu de visite;Patrimoine;Musée National de la Marine;"auditif ; mental";Oui;Oui;Non;Non;http://www.musee-marine.fr;01 53 65 69 69;01 53 65 69 65;;Paris;PARIS;75116;Palais de Chaillot 17 place du Trocadéro;;reservation@musee-marine.fr;48.8622808;2.2875596;48.8622808, 2.2875596
Hôtel;Hôtel;Etap Hôtel La Chapelle;moteur;Non;Non;Non;Oui;http://www.etaphotel.com;01 58 34 00 10;;;Paris;PARIS;75018;7-9 impasse Marteau;;h5091-gm@accor.com;48.9015532;2.3597535;48.9015532, 2.3597535
Loisirs;Structure diverse;Salle de réception La Ferme de la Jonchère;"auditif ; mental";Oui;Oui;Non;Non;http://www.fermedelajonchere.com;01 64 02 23 07;01 60 07 92 12;;Seine-et-Marne;BUSSY SAINT GEORGES;77600;Boulevard du Pavé de Fontanelle;;luc@jonchere.net;48.847744;2.732512;48.847744, 2.732512
Lieu de visite;Patrimoine;Archives Départementales;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.cg77.fr;01 64 87 37 41;01 64 87 37 10;;Seine-et-Marne;DAMMARIE LES LYS;77190;;;dap@cg77.fr;48.515451;2.634831;48.515451, 2.634831
Office de tourisme;Espace d'information;Office de Tourisme;moteur;Non;Non;Non;Oui;http://www.tourisme-en-brie.fr;01 64 04 06 68;01 64 04 08 73;;Seine-et-Marne;LA FERTÉ GAUCHER;77320;35 rue des Promenades;;tourisme@la-ferte-gaucher.org;48.7796738;3.3040711;48.7796738, 3.3040711
Office de tourisme;Espace d'information;Office de Tourisme Marne et Gondoire;moteur;Non;Non;Non;Oui;http://www.marneetgondoire.fr;01 64 02 15 15;01 60 26 80 94;;Seine-et-Marne;LAGNY SUR MARNE;77400;2 rue du Chemin de Fer;;officedetourisme@marneetgondoire.fr;48.8802622;2.7047764;48.8802622, 2.7047764
Lieu de visite;Site pédagogique;Parc des Félins;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.parc-des-felins.com;01 64 51 33 33;01 64 51 33 34;;Seine-et-Marne;NESLES;77540;La Fortelle;;info@parc-des-felins.com;48.712292;2.957143;48.712292, 2.957143
Office de tourisme;Espace d'information;Syndicat d'Initiative;moteur;Non;Non;Non;Oui;http://www..siozoir.free.fr;01 64 40 10 20;01 64 40 09 91;;Seine-et-Marne;OZOIR-LA-FERRIERE;77330;43 ave du gal de Gaulle;;si.ozoir@free.fr;48.7619136;2.6733854;48.7619136, 2.6733854
Meublé de tourisme;Meublé de tourisme;Gite de groupe La Grange aux Bœufs;"moteur ; mental";Oui;Non;Non;Oui;http://www.lagrangeauxboeufs.com;0164015222/0677776573;;;Seine-et-Marne;PÉCY;77970;Ferme de Givry;;la.grangeauxboeufs@wanadoo.fr;48.65574;3.078244;48.65574, 3.078244
Chambre d'hôtes;Chambre d'hôtes;Chambre d'hôtes Logis de la Voulzie;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;;06 14 02 25 10;;;Seine-et-Marne;PROVINS;77160;16 rue Aristide Briand;;contact@logisdelavoulzie.com;48.5577429;3.2982824;48.5577429, 3.2982824
Hôtel;Hôtel;Hôtel Ibis Rambouillet;mental;Oui;Non;Non;Non;http://www.ibishotel.com;01 30 41 78 50;01 34 85 66 45;;Yvelines;RAMBOUILLET;78120;Z.A Le Bel Air N 10;;H0687@accor.com;48.643868;1.829079;48.643868, 1.829079
Lieu de visite;Site pédagogique;Parc aux Etoiles;mental;Oui;Non;Non;Non;http://www.parcauxetoiles.com;01 39 74 75 10;01 39 74 52 98;;Yvelines;TRIEL SUR SEINE;78510;2 rue de la Chapelle;;contact@parcauxetoiles.fr;48.996466;2.009876;48.996466, 2.009876
Meublé de tourisme;Meublé de tourisme;Gîtes ruraux La Ferme des Bois Blancs;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;;01 69 14 89 92;;Gîtes de France;Essonne;AVRAINVILLE;91630;Ferme des Bois Blancs;;guilloisi@aol.com;48.56214;2.246488;48.56214, 2.246488
Lieu de visite;Patrimoine;Musée A la Rencontre des Vieux Métiers;mental;Oui;Non;Non;Non;http://pagesperso-orange.fr/bourayetsonhistoire;"0160822325 ; 0160823482";;;Essonne;BOURAY SUR JUINE;91850;55 rue Haute;;bourayetsonhistoire@orange.fr;48.5189601;2.295325;48.5189601, 2.295325
Activités sportives de pleine nature;Activité sportive;Piscine des Sénarts;"moteur ; mental";Oui;Non;Non;Oui;http://www.piscinedessenarts.fr;0169842251/0679632332;;;Essonne;BOUSSY SAINT ANTOINE;91800;1 rue Roschopt;;c.ladoe@plante-equalia.fr;48.6910762;2.5261062;48.6910762, 2.5261062
Hôtel;Hôtel;Hôtel restaurant Ibis Porte de Clichy;"moteur ; mental";Oui;Non;Non;Oui;;33(0)141401890;01 41 40 18 91;;Hauts-de-Seine;CLICHY;92110;15 bd Victor Hugo;;H3298@accor.com;48.8971274;2.3097954;48.8971274, 2.3097954
Hôtel;Hôtel;Hôtel Courtyard by Marriott;"auditif ; mental";Oui;Oui;Non;Non;http://www.marriott.com;01 47 69 59 27;0 (0)1 47 69 59 25;;Hauts-de-Seine;COLOMBES;92700;91 bd Charles de Gaulle;;frederic.muller@courtyard.com;48.9124508;2.2312518;48.9124508, 2.2312518
Lieu de visite;Site pédagogique;Maison de la Pêche;"auditif ; mental";Oui;Oui;Non;Non;;01 47 57 17 32;01 47 58 03 96;;Hauts-de-Seine;LEVALLOIS;92300;22 rue Claude Monet;;infos@maisondelapeche.net;48.8987267;2.2749299;48.8987267, 2.2749299
Lieu de visite;Site pédagogique;Ferme Pédagogique du Piqueur;"auditif ; mental";Oui;Oui;Non;Non;http://www.lafermedupiqueur.fr;01 46 02 24 53;01 46 02 24 53;;Hauts-de-Seine;SAINT CLOUD;92210;Domaine National de Saint Cloud;;lenfancedelartfermedupiqueur@orange.fr;48.8336506;2.2094107;48.8336506, 2.2094107
Lieu de visite;Patrimoine;Château de Sceaux;auditif;Non;Oui;Non;Non;http://www.chateau-sceaux.fr;01 46 61 06 71;01 46 61 00 88;Musée de France;Hauts-de-Seine;SCEAUX;92330;Château de Sceaux;;epessy@cg92.fr;48.7743062;2.3001071;48.7743062, 2.3001071
Hôtel;Hôtel;Hôtel Courtyard By Marriott Paris Saint Denis;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;;01 58 34 91 31;;;Seine-Saint-Denis;SAINT DENIS;93200;34 Bd de la Libération Contact : Frédéric Schaub;;geraldine.raulin@courtyard.com;48.936181;2.357443;48.936181, 2.357443
Hôtel;Hôtel;Hôtel Ibis Stade Ouest Saint Denis;mental;Oui;Non;Non;Non;http://www.ibis.com;01 48 09 48 10;01 48 09 85 14;;Seine-Saint-Denis;SAINT DENIS;93200;20 rue Jules Saulnier;;h1940-GM@accor.com;48.9258633;2.3549135;48.9258633, 2.3549135
Hôtel;Hôtel;Suite Novotel de Saint Denis;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.suite-hotel.com;01 49 46 54 54;01 49 46 39 40;;Seine-Saint-Denis;SAINT DENIS;93200;31 rue Jules Rimet;;h3325-gm@accor.com;48.936181;2.357443;48.936181, 2.357443
Hôtel;Hôtel;Hôtel Ibis Nogent sur Marne;mental;Oui;Non;Non;Non;http://www.ibishotel.com;01 43 24 37 37;01 43 24 84 04;;Val-de-Marne;NOGENT SUR MARNE;94130;1 rue de Nazaré;;H3406@accor.com;48.8333606;2.4922987;48.8333606, 2.4922987
Loisirs;Structure diverse;Salle de réception La Grange du Tulipier;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;;01 34 67 40 35;;;Val-d'Oise;GUIRY EN VEXIN;95450;5 rue Saint Nicolas;;;49.1098735;1.853063;49.1098735, 1.853063
Hôtel;Hôtel;Hôtel restaurant Express by Holiday Inn;"auditif ; moteur";Non;Oui;Non;Oui;http://www.hotel-express-roissy.com;01 30 18 22 00;01 30 18 21 01;;Val-d'Oise;ROISSY EN FRANCE;95700;Zone hôtelière Allée de Vergers;;reception@hicdg.com;49.00363;2.516978;49.00363, 2.516978
Hôtel;Hôtel;Etap Hôtel;moteur;Non;Non;Non;Oui;;01 49 89 33 41;01 49 89 33 42;;Val-d'Oise;ROISSY CDG CEDEX;95974;335 rue de la Belle Etoile Paris Nord II;;E3105@accor-hotels.com;49.004;01/02/11;
Office de tourisme;Espace d'information;Office de Tourisme et des Congrès de Paris Bureau des Pyramides;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.parisinfo.com;01 49 52 53 79;01 49 52 53 20;;Paris;PARIS;75001;25 rue des Pyramides;;amignot@parisinfo.com;48.8660339;2.3336585;48.8660339, 2.3336585
Lieu de visite;Patrimoine;Musée de la Poupée;"auditif ; mental";Oui;Oui;Non;Non;http://www.museedelapoupeeparis.com;01 42 72 73 11;01 44 54 04 48;;Paris;PARIS;75003;Impasse Berthaud;;musee.poupee@noos.fr;48.8613429;2.3540755;48.8613429, 2.3540755
Lieu de visite;Patrimoine;Maison Victor Hugo;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.musee-hugo.paris.fr;01 42 72 10 16;01 42 72 06 64;;Paris;PARIS;75004;Hôtel de Rohan  6 Place des Vosges;;thierry.renaudin@paris.fr;48.8549265;2.3660266;48.8549265, 2.3660266
Lieu de visite;Patrimoine;Etablissement public du Musée d'Orsay;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www.musee-orsay.fr;01 40 49 48 73;01 42 22 11 84;;Paris;PARIS CEDEX 07;75007;62 rue de Lille;;laurence.imbert@musee-orsay.fr;48.8598767;2.3254807;48.8598767, 2.3254807
Lieu de visite;Patrimoine;Musée Nissim de Camondo;auditif;Non;Oui;Non;Non;http://www.ucad.fr;01 53 89 06 50;01 53 89 06 42;;Paris;PARIS;75008;63 rue de Monceau;;beatrice.quette@ucad.fr;48.878837;2.3128495;48.878837, 2.3128495
Lieu de visite;Patrimoine;La Maison Rouge;moteur;Non;Non;Non;Oui;http://www.lamaisonrouge.org;01 40 01 08 81;331 40 01 08 83;;Paris;PARIS;75012;10 bd de la Bastille;;claireschillinger@lamaisonrouge.org;48.8473208;2.3674916;48.8473208, 2.3674916
Hôtel;Hôtel;Suite Novotel Porte de la Chapelle;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;"http://www.suite-hotel;com";01 49 93 88 88;01 49 93 88 99;;Paris;PARIS;75018;1 Impasse Marteau;;H4983-gm@accor.com;48.9017077;2.3595464;48.9017077, 2.3595464
Lieu de visite;Patrimoine;Musée de l'Erotisme;auditif;Non;Oui;Non;Non;http://www.musee-erotisme.com;01 42 58 28 73;01 42 23 24 78;;Paris;PARIS;75018;72 bd de Clichy;;alainplumey@club-internet.fr;48.8836283;2.3337816;48.8836283, 2.3337816
Structure diverse;Structure diverse;Grande Halle de la Villette;moteur;Non;Non;Non;Oui;http://www.villette.com;01 40 03 75 77;01 40 03 75 06;;Paris;PARIS;75019;Parc et Grande Halle de la Villette 211 avenue Jean Jaurès;;a.courcon@villette.com;48.8820163;2.3761334;48.8820163, 2.3761334
Office de tourisme;Espace d'information;Office de Tourisme de Barbizon;"auditif ; moteur";Non;Oui;Non;Oui;http://www.barbizon-tourisme.fr;01 60 66 41 87;01 60 66 41 87;;Seine-et-Marne;BARBIZON;77630;Place Marc Jacquet;;barbizon-tourisme@orange.fr;48.4447469;2.603201;48.4447469, 2.603201
Hôtel;Hôtel;Campanile Bussy St Georges;mental;Oui;Non;Non;Non;http://www.campanile.fr;01 64 66 62 62;01 64 66 62 63;;Seine-et-Marne;BUSSY SAINT GEORGES;77600;8 avenue Marie Curie;;bussystgeorges@campanile.fr;48.8326893;2.704259;48.8326893, 2.704259
Hôtel;Hôtel;Première Classe Bussy St Georges;moteur;Non;Non;Non;Oui;http://www.premiereclasse.fr;01 64 66 62 57;01 64 66 62 71;;Seine-et-Marne;BUSSY SAINT GEORGES;77600;9 avenue Marie Curie;;bussystgeorges@premiereclasse.fr;48.8344978;2.7165437;48.8344978, 2.7165437
Lieu de visite;Patrimoine;Jardin Musée Bourdelle;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;http://www.cg77.fr;01 64 78 50 91;01 64 78 50 94;;Seine-et-Marne;EGREVILLE;77620;1 rue Dufet;;bourdelle@cg77.fr;48.1843589;2.8591564;48.1843589, 2.8591564
Chambre d'hôtes;Chambre d'hôtes;Chambre d'hôtes de la Chapelle Moutils;"auditif ; moteur ; mental";Oui;Oui;Non;Oui;http://www..chambres-hotes-fermedepuiseleau.fr;"0975176279 ; 0664752033";;Gîtes de France;Seine-et-Marne;LA CHAPELLE MOUTILS;77230;Ferme de Puiseleau;;domaine.scea@luxinet.fr;48.753728;3.384176;48.753728, 3.384176
Office de tourisme;Espace d'information;Espace Tourisme Ile de France Seine et Marne;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;;01 60 43 33 33;01 60 43 74 95;;Seine-et-Marne;MARNE LA VALLEE;77705;place François Truffaut;;espace.idf77@wanadoo.fr;48.88027;2.704659;48.88027, 2.704659
Lieu de visite;Patrimoine;Musée Départemental de Préhistoire;"visuel ; mental";Oui;Non;Oui;Non;;01 64 78 54 80;01 64 78 54 89;;Seine-et-Marne;NEMOURS;77140;48 avenue Etienne Dailly;;prehistoire@cg77.fr;48.2606244;2.7152513;48.2606244, 2.7152513
Activités sportives de pleine nature;Activité de plein air;Sentier de promenade Bois de Champagne;"auditif ; visuel ; moteur ; mental";Oui;Oui;Oui;Oui;;01 64 98 73 93;;;Seine-et-Marne;SAINT FARGEAU PONTHIERRY;77310;Bois de Champagne;PNR 52 route de Corbeil 91590 BAULNE;f.lombard@parc-gatinais-francais.fr;48.543373;2.527307;48.543373, 2.527307
Loisirs;Loisirs;France Miniature;"auditif ; mental";Oui;Oui;Non;Non;http://www.franceminiature.com;01 30 16 16 30;01 30 16 16 31;;Yvelines;ELANCOURT;78990;25 route du Mesnil;;info@franceminiature.com;48.773529;1.965973;48.773529, 1.965973
Hôtel;Hôtel;Hôtel de la Chapelle;mental;Oui;Non;Non;Non;http://www.hotelchapelle.com;01 30 23 49 40;;LOGIS DE France;Yvelines;MILON LA CHAPELLE;78470;2 route de Chevreuse;;hotelchapelle@wanadoo.fr;48.7254263;2.0494979;48.7254263, 2.0494979
